Name;Company URL;Technology Independence Score;Ecosystem Dependencies;Growth Momentum Tier;Buyer Persona
Quartic.ai;https://quartic.ai;55;None;Accelerating;Manufacturing / OT
Mind Device, Inc.;https://factorian.io/;55;None;Early/Pre-revenue;Manufacturing / OT
BuildCheck;https://buildcheck.ai/;63;None;Early/Pre-revenue;Design Engineering
Cybeletech;https://cybeletech.com/;55;None;Early/Pre-revenue;Operations Executives
Relay Ace;https://relayace.com/;55;None;Early/Pre-revenue;Manufacturing / OT
explore;https://explore.de;55;None;Early/Pre-revenue;Manufacturing / OT
PrimusAI;https://primis.ai/;60;None;Early/Pre-revenue;R&D Leadership
DataProphet;https://dataprophet.com;55;None;Accelerating;Manufacturing / OT
ORIS Connect;https://www.oris-connect.com/;55;None;Accelerating;Design Engineering
Bombiix;https://bombiix.com;43;Dassault, PTC, Siemens;Early/Pre-revenue;Manufacturing / OT
Shaper Tools;https://www.shapertools.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Uncountable;https://www.uncountable.com/;43;Dassault, PTC, Siemens;Accelerating;Quality / Inspection
Forge Robotics;https://forge-robotics.com;55;None;Early/Pre-revenue;Manufacturing / OT
Mohara;;50;None;Stalled;Manufacturing / OT
Korso;https://www.korsoai.com/;43;Dassault, PTC, Siemens;Early/Pre-revenue;Manufacturing / OT
Intenseye;https://www.intenseye.com/;55;None;High Growth;Operations Executives
Phantasma Labs;https://www.phantasma.global/;55;None;Early/Pre-revenue;Manufacturing / OT
polySpectra (neThing.xyz);https://nething.xyz/;65;None;Early/Pre-revenue;Simulation Teams
Efference;https://efference.ai;55;None;Early/Pre-revenue;Manufacturing / OT
Arena Physica;https://arena-ai.com/;49;Autodesk, Dassault, PTC, Siemens;Accelerating;Simulation Teams
Quanscient;https://quanscient.com;55;Dassault, Siemens;Accelerating;Simulation Teams
InUse;https://inuse.eu;40;None;Accelerating;Manufacturing / OT
Zelos Cloud;https://zeloscloud.io;55;None;Early/Pre-revenue;Simulation Teams
FVMat;https://fvmat.com/;55;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
Field AI;https://www.fieldai.com;55;None;Accelerating;Manufacturing / OT
StatStream;https://www.statstream.ai/;55;None;Early/Pre-revenue;Operations Executives
United Manufacturing Hub;https://www.umh.app;55;None;Early/Pre-revenue;Manufacturing / OT
KronosAI;https://kronosai.co/;55;None;Early/Pre-revenue;Simulation Teams
Godela.ai;https://godela.ai;55;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
Qonic;https://www.qonic.com/;55;None;Early/Pre-revenue;Design Engineering
PhysicsX;https://physicsx.ai;55;None;Accelerating;Simulation Teams
Dive CAE;https://divecae.com;63;None;Accelerating;Simulation Teams
BobYard;https://www.bobyard.com/;63;None;Early/Pre-revenue;Design Engineering
MorphoAI;https://morpho.ai;40;None;Early/Pre-revenue;Design Engineering
V3D Printing;https://www.v3d-printing.com/;48;None;Early/Pre-revenue;Manufacturing / OT
TwinMo;https://www.twinmo.ai/;65;None;Early/Pre-revenue;Simulation Teams
BetterFutures;https://betterfutures.ai/;55;None;Early/Pre-revenue;Quality / Inspection
Canvas Envision;https://www.canvasgfx.com/;70;None;Accelerating;Manufacturing / OT
Assemblio;https://www.assemblio.com;55;None;Accelerating;Manufacturing / OT
CVector;https://www.cvector.ai;55;None;Early/Pre-revenue;Operations Executives
ChipAgents;https://chipagents.ai/;48;None;Accelerating;R&D Leadership
ABĒMIS llc;https://www.abemis.com/;57;None;Early/Pre-revenue;Manufacturing / OT
Yondu;https://yondu.ai;63;None;Early/Pre-revenue;Supply Chain / Logistics
Canvass AI;https://canvass.io/;55;None;Accelerating;Manufacturing / OT
Castor (filed for bankruptcy in 2025);https://www.3dcastor.com;55;None;Early/Pre-revenue;Manufacturing / OT
Poka Labs;https://www.pokalabs.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Optellix;https://www.optellix.com;47;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Wilya (FKA Gig and Take);https://wilya.com;55;None;Accelerating;Operations Executives
OpsMate;https://www.opsmateai.com;55;None;Accelerating;Manufacturing / OT
Airshaper;https://airshaper.com;63;None;Accelerating;Simulation Teams
Aixma;https://aixima.de/;55;None;Early/Pre-revenue;Simulation Teams
Variant3D;https://www.variant3d.io/;55;None;Early/Pre-revenue;Manufacturing / OT
Drishti Technologies (acquired by Apple in 2023);https://drishti.com;55;None;Early/Pre-revenue;Quality / Inspection
Toolhouse.Build;https://www.toolhouse.build/;40;None;Early/Pre-revenue;Design Engineering
Alliance Bernstein;;50;None;Stalled;Manufacturing / OT
Response;https://tryresponse.com;40;None;Early/Pre-revenue;Supply Chain / Logistics
AutoPallet Robotics;https://autopallet.bot;55;None;Early/Pre-revenue;Operations Executives
Abelara;;50;None;Stalled;Manufacturing / OT
Energy Robotics;https://www.energy-robotics.com;55;None;Early/Pre-revenue;Quality / Inspection
Tiny;https://www.tiny.dev;55;None;Early/Pre-revenue;Manufacturing / OT
Common Sense Machines;https://www.csm.ai;65;None;Accelerating;Manufacturing / OT
Nyfty.ai;https://nyfty.ai;65;None;Early/Pre-revenue;Design Engineering
Green Factory AI;https://greenfactory.ai;55;None;Early/Pre-revenue;Manufacturing / OT
Quix;https://quix.io;65;None;Accelerating;Manufacturing / OT
artifact.engineer;https://www.artifact.engineer/;65;None;Early/Pre-revenue;Design Engineering
BQP;https://www.bqpsim.com;65;None;Accelerating;Simulation Teams
Artura3D;https://www.artura3d.com/;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Luminary Cloud;https://www.luminarycloud.com/;55;None;Accelerating;Simulation Teams
Voxshell;https://voxshell.com/;65;None;Early/Pre-revenue;Simulation Teams
Encycam;https://encycam.com;57;None;Accelerating;Manufacturing / OT
Nureo AG;https://www.nureo.ch;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
General Lattice;https://www.generallattice.com;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
VulcanForms;https://www.vulcanforms.com;47;Autodesk, Dassault, Siemens;Accelerating;Manufacturing / OT
Tensor9;https://www.tensor9.com;65;None;Early/Pre-revenue;Simulation Teams
Azimuth;https://azimuth-ai.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Barbara;https://barbara-edge.io;55;None;Accelerating;Manufacturing / OT
SmartUQ;https://www.smartuq.com/;65;None;Accelerating;Simulation Teams
Parsable (acquired by CAI Software in 2024};https://parsable.com/;55;None;Accelerating;Manufacturing / OT
Klutch AI;https://klutch.ai/;63;None;Early/Pre-revenue;Operations Executives
Fictiv (Acquired by MISUMI in 2025);https://www.fictiv.com/;55;None;Accelerating;Manufacturing / OT
Kenesto;https://www.kenesto.com;40;Dassault;Steady;Design Engineering
Twinzo;https://www.twinzo.eu;55;None;Accelerating;Manufacturing / OT
Dirac;http://diracinc.com;40;Siemens;Steady;Manufacturing / OT
Archaas;https://www.archaas.com/;53;Autodesk;Early/Pre-revenue;Design Engineering
MecAgent;https://mecagent.com;25;Dassault;Early/Pre-revenue;Design Engineering
Adam;https://adam.new;63;None;Accelerating;Design Engineering
Silimate;https://www.silimate.com/;55;None;Early/Pre-revenue;R&D Leadership
AnkerDB;https://www.ankerdb.com/;55;None;Early/Pre-revenue;Design Engineering
AMP Robotics;https://ampsortation.com;55;None;High Growth;Operations Executives
SyncTwin;https://www.synctwin.app;55;None;Early/Pre-revenue;Manufacturing / OT
FlowFuse;https://flowfuse.com;55;None;Accelerating;Operations Executives
Morphorm;https://www.morphorm.com/;55;None;Early/Pre-revenue;Design Engineering
Giraffe;https://www.giraffe360.com;65;None;High Growth;Design Engineering
MachineMetrics;https://www.machinemetrics.com/;55;None;Accelerating;Manufacturing / OT
CoLab;https://www.colabsoftware.com;25;Dassault, PTC, Siemens;High Growth;Design Engineering
SWAPP;https://swapp.ai/;63;None;Accelerating;Design Engineering
SiteVue;https://www.sitevue.ai/;63;None;Early/Pre-revenue;Operations Executives
Ewake;https://www.ewake.ai/;55;None;Early/Pre-revenue;Manufacturing / OT
Wakeo;https://wakeo.co;50;None;Accelerating;Supply Chain / Logistics
Make a BIM;https://makeabim.com;65;None;Early/Pre-revenue;Design Engineering
ShapesXR;https://shapesxr.com;53;Autodesk;Early/Pre-revenue;Operations Executives
Ballista Labs;https://ballista.ai;65;None;Early/Pre-revenue;Simulation Teams
Flyingshapes Gmbh;https://www.flyingshapes.ai/;47;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Path Robotics;https://www.path-robotics.com/;55;None;Accelerating;Manufacturing / OT
Vinci 4D;https://getvinci.ai;63;None;Early/Pre-revenue;Simulation Teams
Teleo;https://www.teleo.co;55;None;Accelerating;Operations Executives
Matrac;https://www.materialsinformation.com/;65;None;Early/Pre-revenue;Manufacturing / OT
QuotationFactory;https://www.quotationfactory.com;63;None;Accelerating;Manufacturing / OT
OpenSpace;https://openspace.ai;55;None;High Growth;Operations Executives
Arch Systems;https://archsys.io;55;None;Accelerating;Manufacturing / OT
Share PLM;https://shareplm.com;55;None;Early/Pre-revenue;Manufacturing / OT
Alitheon;https://alitheon.com;55;None;Early/Pre-revenue;Quality / Inspection
IoTFlows;https://www.iotflows.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Akselos;https://www.akselos.com;55;None;Accelerating;Simulation Teams
Lightberry;https://lightberry.com;55;None;Early/Pre-revenue;Manufacturing / OT
Aletiq;https://www.aletiq.com/;55;None;Early/Pre-revenue;Manufacturing / OT
GroundControl;https://groundcontrol.ai;55;None;Accelerating;Quality / Inspection
Vendorvue;https://www.vendorvue.io;40;None;Early/Pre-revenue;Supply Chain / Logistics
Augmentir;https://www.augmentir.com;55;None;Accelerating;Manufacturing / OT
Photonium;https://www.photonium.ai/;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;R&D Leadership
Avathon;https://avathon.com/;55;None;Early/Pre-revenue;Design Engineering
ArchiLabs;https://archilabs.ai/;55;None;Early/Pre-revenue;Design Engineering
Fuzzy Logic Robotics;https://flr.io/;55;None;Early/Pre-revenue;Manufacturing / OT
SP3D;https://spare-parts-3d.com;63;None;Early/Pre-revenue;Manufacturing / OT
Besso;https://www.besso.com;40;None;Early/Pre-revenue;Supply Chain / Logistics
Mimic Robotics;https://www.mimicrobotics.com/;55;None;Accelerating;Manufacturing / OT
Relief;https://www.reliefapp.ai;55;None;Early/Pre-revenue;Manufacturing / OT
Arcway;https://arcway.ai/;63;None;Early/Pre-revenue;Design Engineering
Vento;https://www.vento-cfd.com/;55;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
LineWise;https://www.linewise.io/;55;None;Early/Pre-revenue;Manufacturing / OT
Nextmv;https://nextmv.io;65;None;Accelerating;Operations Executives
Ricursive Intelligence;https://www.ricursive.com/;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Rev1;https://rev1.so;50;Dassault, Siemens;Early/Pre-revenue;Design Engineering
Superluminal;https://www.superluminal.tech;55;None;Early/Pre-revenue;R&D Leadership
Metafold 3D;https://www.metafold3d.com/;65;None;Steady;Simulation Teams
Antaris;https://www.antaris.space/;43;Dassault, PTC, Siemens;Accelerating;Simulation Teams
Planarific;https://planarific.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Instrumental;https://instrumental.com;55;None;Accelerating;Manufacturing / OT
Pivot Robotics;https://pivotrobotics.com/;47;Autodesk, Dassault, Siemens;Accelerating;Manufacturing / OT
3YOURMIND;https://3yourmind.com;50;None;Steady;Manufacturing / OT
Mulin;https://mulin.ai/;55;None;Early/Pre-revenue;Manufacturing / OT
Redwood EDA;https://www.redwoodeda.com;63;None;Early/Pre-revenue;Design Engineering
Turing Education;https://turing.edu;34;Autodesk, Dassault, PTC, Siemens;Steady;Educators
AnyLog;https://www.anylog.network/;55;None;Early/Pre-revenue;Operations Executives
NexCAD;https://nexcad.ai;48;Dassault;Early/Pre-revenue;Design Engineering
Inductiva;https://inductiva.ai/;34;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Simulation Teams
Neofactory;https://neofactory.ai;55;None;Early/Pre-revenue;Manufacturing / OT
Carbonfact;https://www.carbonfact.com;43;Dassault, PTC, Siemens;Accelerating;Operations Executives
Skydio;https://www.skydio.com;40;None;Accelerating;Operations Executives
Nitrexo;https://www.nitrexo.com/;47;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
ViewAR;https://www.viewar.com;70;None;Steady;Manufacturing / OT
Santinela;https://www.santinela.com/;55;None;Early/Pre-revenue;Manufacturing / OT
BotBuilt;https://www.botbuilt.com;63;None;Accelerating;Manufacturing / OT
Werk24;https://werk24.io;65;None;Early/Pre-revenue;Manufacturing / OT
Tanso;https://www.tanso.de;55;None;High Growth;Manufacturing / OT
Alloyed;https://alloyed.com;55;None;Accelerating;Manufacturing / OT
Fuuz;https://www.fuuz.com/;55;None;Accelerating;Manufacturing / OT
First Resonance;https://www.firstresonance.io;55;None;Accelerating;Manufacturing / OT
BeyondMath;https://beyondmath.com/;63;None;Accelerating;Simulation Teams
PAILOT;https://en.pailot.com;55;None;Early/Pre-revenue;Manufacturing / OT
Boltline;https://www.boltline.com/;65;None;Early/Pre-revenue;Simulation Teams
Augmenta;https://www.augmenta.ai/;53;Autodesk;Early/Pre-revenue;Design Engineering
Sudozi;https://www.sudozi.com;40;None;Accelerating;Supply Chain / Logistics
BildAI;https://www.bild.ai;63;None;Early/Pre-revenue;Design Engineering
Violet Labs;https://violetlabs.com;55;None;Accelerating;R&D Leadership
Vizcom;https://www.vizcom.com;48;None;Accelerating;Manufacturing / OT
SmarterChains;https://www.smarterchains.com/;40;None;Early/Pre-revenue;Operations Executives
Speckle;https://speckle.systems/;60;Autodesk;Accelerating;Design Engineering
Uptake;https://uptake.com;40;None;Accelerating;Operations Executives
NYNE Gmbh;https://nyne.cloud;55;None;Early/Pre-revenue;Design Engineering
Motif;https://www.motif.io;53;Autodesk;Early/Pre-revenue;Design Engineering
Geminus.ai;https://www.geminus.ai/;65;None;Accelerating;Operations Executives
Opti-Technologies;https://www.opti-fab.com/;55;None;Steady;Manufacturing / OT
CLO Virtual Fashion;https://clo3d.com;72;None;Accelerating;Simulation Teams
Solesca;https://solesca.com/;55;None;Accelerating;Simulation Teams
RBF MORPH;https://rbfmorph.com/;57;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
Campfire;https://campfire3d.com/;51;Autodesk, Dassault, PTC, Siemens;Accelerating;Design Engineering
Normal;https://www.normalcomputing.com;55;None;Early/Pre-revenue;Manufacturing / OT
Asimov;https://tryasimov.ai/;63;None;Early/Pre-revenue;R&D Leadership
Covariant (acquired by Amazon Robotics in 2024);https://covariant.ai;55;None;Accelerating;Operations Executives
TVARIT;https://tvarit.com;55;None;Accelerating;Manufacturing / OT
Pictorus;https://www.pictor.us/;45;Siemens;Accelerating;Quality / Inspection
MapShots;https://www.mapshots.com;53;Autodesk;Steady;Operations Executives
Periodic Labs;https://periodic.com/;34;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;R&D Leadership
Nox Metals;https://noxmetals.co/;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
C-Infinity;https://c-infinity.ai;63;None;Accelerating;R&D Leadership
Womp;https://womp.com;63;None;Steady;Design Engineering
Desktop Metal (acquired by Nano Dimension in 2025);https://desktopmetal.com;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Stargazr;https://stargazr.ai;55;None;Early/Pre-revenue;Manufacturing / OT
Layup Parts;https://layupparts.com/;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
EthonAI;https://ethon.ai;55;None;Accelerating;Quality / Inspection
IntelliAM (IPO in 2024);https://intelliam.ai;55;None;High Growth;Manufacturing / OT
Kalam Labs;https://www.kalamlabs.com;55;None;Accelerating;Simulation Teams
Tulip Interfaces;https://tulip.co/;65;None;High Growth;Manufacturing / OT
Vectary;https://www.vectary.com;63;None;Accelerating;Design Engineering
Mbodi AI;https://mbodi.ai/;55;None;Early/Pre-revenue;Manufacturing / OT
Freeform;https://freeform.co;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
TwinThread;https://www.twinthread.com/home;65;None;Accelerating;Manufacturing / OT
Matterport (acquired by CoStar Group in 2025 - $1.6B);https://matterport.com/;53;Autodesk;Accelerating;Operations Executives
Sight Machine;https://www.sightmachine.com;55;None;Accelerating;Manufacturing / OT
Tellia;https://tell-ia.com;55;None;Early/Pre-revenue;Operations Executives
KCF Technologies;https://kcftech.com/;55;None;Accelerating;Manufacturing / OT
Ressio;https://www.ressiosoftware.com/;63;None;Early/Pre-revenue;Operations Executives
Yoshu;https://www.yoshu.ai;55;None;Early/Pre-revenue;Operations Executives
Pivot;https://pivotapp.ai;40;None;Accelerating;Supply Chain / Logistics
Golioth;https://golioth.io;55;None;Accelerating;Manufacturing / OT
Flexify;https://flexify.ai;55;None;Early/Pre-revenue;Operations Executives
UptimeAI;https://www.uptimeai.com;55;None;Accelerating;Operations Executives
Atum Works;https://atum.works/;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Phaidra;https://www.phaidra.ai;55;None;Accelerating;Operations Executives
Software Defined Automation;https://www.softwaredefinedautomation.io/;55;None;Accelerating;Manufacturing / OT
formfactories;https://www.formfactories.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Dados;https://dadostech.com/;60;None;Early/Pre-revenue;Manufacturing / OT
Glacier;https://endwaste.io;55;None;Accelerating;Manufacturing / OT
Lila;https://lila.ai;55;None;High Growth;R&D Leadership
Intelcyx;https://www.intelycx.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Rescale;https://rescale.com;55;None;High Growth;Simulation Teams
Synera;https://synera.io;57;None;Accelerating;Manufacturing / OT
xNilio;https://xnilio.com;65;None;Early/Pre-revenue;Design Engineering
Fabera;https://www.fabera.fr;55;None;Early/Pre-revenue;Manufacturing / OT
Ausmosys;https://ausmosys.com;43;Dassault, PTC, Siemens;Early/Pre-revenue;Manufacturing / OT
Mercateam;https://merca.team;55;None;Early/Pre-revenue;Operations Executives
DigitalCNC;https://digitalnc.ai;25;Autodesk, Siemens;Accelerating;Manufacturing / OT
COSMON;https://www.cosmon.com/;65;None;Early/Pre-revenue;R&D Leadership
Fabrio;https://www.fabriodesign.com;63;None;Early/Pre-revenue;Educators
Electra Vehicles;https://www.electravehicles.com/;55;None;Early/Pre-revenue;Operations Executives
VayanData;https://www.vayandata.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Charge Robotics;https://chargerobotics.com;63;None;Early/Pre-revenue;Manufacturing / OT
XYZ Reality;https://www.xyzreality.com;70;None;High Growth;Quality / Inspection
CoreForm;https://coreform.com;57;None;Steady;R&D Leadership
juna.ai;https://juna.ai;55;None;Early/Pre-revenue;Operations Executives
Dalus;https://dalus.io;55;None;Early/Pre-revenue;Design Engineering
Vertex;https://vertex3d.com;63;None;Steady;Design Engineering
Tensr;https://tensr.com/;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Fabriom;https://www.fabriom.com;55;None;Early/Pre-revenue;Manufacturing / OT
COSMODOT;https://www.thecosmodot.com;55;None;Accelerating;Manufacturing / OT
Bucket Robotics;https://bucket.bot/;55;None;Early/Pre-revenue;Quality / Inspection
Specira;https://specira.ai/;34;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;R&D Leadership
Samp;https://samp.ai;55;None;Early/Pre-revenue;Quality / Inspection
Formic;https://formic.co;40;None;Accelerating;Manufacturing / OT
Orthogonal;https://www.orthogonal.io;55;None;Early/Pre-revenue;Simulation Teams
Swapp;https://www.swapp.ai;55;None;Accelerating;Design Engineering
Flow Engineering;https://flowengineering.com;50;None;Accelerating;Manufacturing / OT
ExLattice;https://exlattice.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Flow Software;https://www.flow-software.com/;55;None;Early/Pre-revenue;Manufacturing / OT
CELUS;https://celus.io;55;None;Accelerating;Design Engineering
Elevating Patterns;https://www.elevating-patterns.com/;55;None;Early/Pre-revenue;Manufacturing / OT
DGG - The 3D Pipeline Company;https://rapidpipeline.com/;65;None;Accelerating;Manufacturing / OT
Matchory;https://matchory.com;40;None;Accelerating;Supply Chain / Logistics
Oden Technologies;https://oden.io/;55;None;Accelerating;Manufacturing / OT
Flowlity;https://www.flowlity.com;40;None;Accelerating;Supply Chain / Logistics
GreenLite;https://greenlite.com;55;None;Accelerating;Operations Executives
Open Orion;https://openorion.org/;65;None;Early/Pre-revenue;Design Engineering
Remy AI;https://www.tryremy.ai;55;None;Early/Pre-revenue;Supply Chain / Logistics
Evolinq;https://evolinq.io;40;None;Early/Pre-revenue;Supply Chain / Logistics
Dyndrite;https://www.dyndrite.com;55;Siemens;Accelerating;Manufacturing / OT
Kyten Technologies;https://kytentech.com;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Paperless Parts;https://www.paperlessparts.com;55;None;Accelerating;Manufacturing / OT
ControlRooms.ai;https://controlrooms.ai;55;None;Accelerating;Manufacturing / OT
The Robot Learning Company;https://robot-learning.co;63;None;Early/Pre-revenue;Manufacturing / OT
Quaoar Studio;https://quaoar-studio.com/;59;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Weave Robotics;https://www.weaverobots.com;63;None;Early/Pre-revenue;Operations Executives
Secondmind;https://www.secondmind.ai/;65;None;Steady;Simulation Teams
Portainer.io;https://portainer.io;50;None;Accelerating;Operations Executives
Chemix;https://www.chemix.ai;55;None;Early/Pre-revenue;Simulation Teams
Optimuse;https://www.optimuse.com;55;None;Accelerating;Design Engineering
PermitFlow;https://www.permitflow.com/;63;None;Accelerating;Operations Executives
Struck;https://struck.eu/;55;None;Early/Pre-revenue;Manufacturing / OT
TopoLogic, Inc;https://www.topologic.jp/en;34;Autodesk, Dassault, PTC, Siemens;Accelerating;R&D Leadership
BuilDOTS;https://buildots.com;53;Autodesk;Accelerating;Operations Executives
MaterialsZone;https://materials.zone;63;None;Accelerating;Simulation Teams
MaestroHub;https://maestrohub.com/;55;None;Early/Pre-revenue;Manufacturing / OT
LycheeAI;https://lycheeai-hub.com/;55;None;Early/Pre-revenue;Educators
Specter Automation;https://www.specter-automation.com/en;55;None;Accelerating;Operations Executives
Kabandy;https://kabandy.com;55;None;Early/Pre-revenue;Design Engineering
SelectAM;https://selectam.io/;55;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
ContractHero;https://www.contracthero.com;40;None;Accelerating;Supply Chain / Logistics
NRJx;https://www.nrjx.tech/;55;None;Early/Pre-revenue;Operations Executives
Arkestro;https://arkestro.com;55;None;Accelerating;Supply Chain / Logistics
Feather Solutions;https://feather.solutions;42;None;Early/Pre-revenue;Simulation Teams
CAD as Code;https://www.cadascode.com/;49;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
1X Technologies;https://www.1x.tech;55;None;Accelerating;Supply Chain / Logistics
MatAlytics;https://matalytics.com;55;None;Accelerating;Manufacturing / OT
Tanso3D (ceased operations in 2024);https://tanso3d.com/;55;None;Early/Pre-revenue;Design Engineering
VisionXt S.r.l.;https://visionxt.it/;55;None;Early/Pre-revenue;Quality / Inspection
Matta Labs;https://www.matta.ai/;55;None;Early/Pre-revenue;Quality / Inspection
Neuramill;https://neuramill.co;55;None;Early/Pre-revenue;Manufacturing / OT
Key Ward;https://www.keyward.io/;65;None;Accelerating;Simulation Teams
Asper Technologies (acquired by Siemens DISW in 2026);https://aster-technologies.com/en/;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Manufacturing / OT
Mandel AI;https://www.mandel.ai;40;None;Early/Pre-revenue;Manufacturing / OT
FOLDSTRUCT;https://www.foldstruct.com;53;Autodesk;Early/Pre-revenue;Design Engineering
HorneSci;https://www.hornesci.com/;57;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
SketchPro;https://sketchpro.ai;63;None;Early/Pre-revenue;Design Engineering
Leopoly;https://leopoly.com;63;None;Early/Pre-revenue;Design Engineering
Cognite;https://cognite.com;55;None;High Growth;Operations Executives
AI Materia;https://aimateria.com/;55;None;Accelerating;R&D Leadership
BimDrone;https://bimdrone.pl;55;None;Accelerating;Design Engineering
Silkline;https://silkline.ai;55;None;Accelerating;Supply Chain / Logistics
Merlyn for Education;https://www.merlyn.org;40;None;Accelerating;Educators
cmBuilder.io;https://cmbuilder.io;65;None;Accelerating;Design Engineering
Allspice.io;https://www.allspice.io/;65;None;Accelerating;Design Engineering
ProductFlo;https://productflo.io;55;None;Early/Pre-revenue;Manufacturing / OT
Quarter20;https://www.buildquarter20.com/;55;None;Early/Pre-revenue;Simulation Teams
Foxglove;https://foxglove.dev/;55;None;Accelerating;Manufacturing / OT
Allus AI;https://allus.ai;55;None;Early/Pre-revenue;Operations Executives
ARYA Labs;https://aryalabs.io/;65;None;Early/Pre-revenue;Simulation Teams
Leucine;https://leucine.io;55;None;Accelerating;Manufacturing / OT
ReilAI;https://reil.ai;55;None;Early/Pre-revenue;Manufacturing / OT
