Company,Company URL,HQ Location,Country,Founded,Estimated Headcount,Known Customers,Strengths,Weaknesses,Discipline,Lifecycle Phase,Workflow Segment,Subsegment,Sector Focus,Ecosystem SW/Platform Compatibility,Programming Languages, Browser-based,Modeling Paradigms & Protocols,Graphics Kernel,Category/Function Tags,Deployment Model,Operating Model Tags,Differentiation Tags,Manufacturing Type,Industries Served,Investment Thesis,Investment List,Subcategories,Company Group,Latest Funding Round,Startup Lifecycle Phase,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Best Available Valuation,Financials Notes,Investors and VCs,Market Opportunity,Market Opportunity Justification,Team & Execution,Team & Execution Justification,Technology Differentiation,Technology Differentiation Justification,Funding Efficiency,Funding Efficiency Justification,Growth Metrics,Growth Metrics Justification,Industry Impact,Industry Impact Justification,Competitive Moat,Competitive Moat Justification,Weighted Score,My Contacts,Social,Connected on LinkedIn?,Investors copy,Company Overview (Company),Technology Independence Score,Growth Momentum Tier,Buyer Persona,Ecosystem Dependencies,Data Completeness
Adam,https://adam.new,"Berkeley, CA, USA",United States 🇺🇸,2023,15,Undisclosed or unknown,State-of-the-art AI-powered CAD generative interface; YC network; rapid iteration; viral product-led growth,Very early stage; limited enterprise track record; may lack mature parametric/assembly features,CAD,Design,Ideation & Concept,"Generative Design, 3D CAD, AI","AI-led CAD design, product development",Likely interoperates with common CAD filetypes,,checked,"Mesh,Generative,Parametric",N/A,"Generative CAD,AI for Design,Text-to-CAD,Cloud CAD,CAD,AI Copilot,Design Automation,Plugin","Cloud,On-Prem,Plugin,Web","B2B,Product-led Growth,SaaS,Self-Service,Subscription,Vertical","AI-native Architecture,Generative Modeling,Proprietary AI Models,AI Copilot Interface,Fast Deployment",Discrete Manufacturing,"Aerospace & Defense,Automotive",AI-Enabled User Experience,Design Intelligence (CAD),Text-to-CAD & AI-Native 3D Generation,Startup Raisers,Seed,Seed Stage,2025,$4100000.0,$4100000.0,$10000000.0,$120000000.0,"Seed, pre-revenue or early revenue (YC2025)","Y Combinator.
Pioneer Fund,
Brad Flora",4.7,"Millions of potential SMB/pro users want easier-to-use, next-gen CAD; AI co-pilots now proven in multiple domains",4.6,"Technical founding team, strong YC backing, fast iteration",4.8,"Text/image-to-3D modeling, parametric editing via chat interface; best-in-class UX; outpaces most legacy CADs in experience and AI integration",4.9,"Very lean, fast to product with <20 people, YC discipline",4.3,"Early, but viral online traction, new users, community engagement; upgrades rapidly",4.6,"If successful, could redefine CAD workflow, mainstream generative design for SMBs",4.5,"Proprietary models, early-mover momentum, UX/IP feedback flywheel",4.67,"Zach Dive*
Aaron Li (CPO) *",,checked,"Y Combinator, Pioneer Fund, Brad Flora",,63.0,Accelerating,Design Engineering,None,3/4
ChipAgents,https://chipagents.ai/,"Lausanne, Switzerland",Switzerland 🇨🇭,2024,20,"Micron, MediaTek, Ericsson, Marvell",Generative agentic AI for EDA workflow acceleration and chip verification. Agents automate RTL code verification and testbench creation. Tenfold productivity improvement claimed. First generative agent for EDA. Deep technical IP. Disruptive tech with pilot traction.,Very new. Competes with deeply established EDA vendors. Unproven at full commercial ramp,EDA Automation,Design,Ideation & Concept,Design Intelligence,EDA,N/A,,checked,"Parametric,Direct",N/A,"EDA,Agentic AI","Cloud,Web","Enterprise,Product-led Growth,Regional,SaaS,Subscription,Vertical","Agentic Automation,Proprietary AI Models,Deep Domain Expertise,AI-driven Optimization",Discrete Manufacturing,"High-Tech & Electronics,Semiconductors",AI-Enabled User Experience,Design Intelligence (CAD),AI-Powered EDA & Electronic Design,Startup Raisers,Series A,Early Stage,2025,$21000000.0,$74000000.0,$1000000.0,$74000000.0,Company press: $74M total after Feb 2026 Series A1,Summit Partners. Bessemer. ScOp VC,4.7,Design bottlenecks in verification can be solved with AI agent acceleration. Foundries and enterprise teams are interested,4.6,"Team composed of ex-Mentor, ex-Synopsys, ex-Cadence. Built patent-rich product",4.9,Agents automate test and verification flow. Proprietary agentic learning loop is unique. Early pilots confirm productivity claims,4.4,Patents held by founders. VCs invested for product and initial rollout,4.5,Early pilots with leading design teams. High technical validation. Growth expected from industry leaders,4.8,Could reshape design speed for advanced node chips. Large impact possible on EDA incumbents,4.4,Patent and advisory board is unique. Early mover for agentic EDA. Technical moat deep,4.65,William Yang Wang (Founder and CEO),,,Summit Partners. Bessemer. ScOp VC,,48.0,Accelerating,R&D Leadership,None,2/4
Threedy,https://threedy.io,"Darmstadt, Hesse, Germany",Germany 🇩🇪,2020,53,"Mercedes, Diamler Truck, Porsche, EDF, Siemens, BMW",Real-time 3D streaming platform for complex industrial assets,Competes with established 3D streaming platforms,3D Visualization,Design,Digital Twin,Industrial 3D Streaming,Industrial 3D streaming,"CAD PLM, simulation workflows","Typescript,C++,Go,Rust",checked,"Mesh,B-rep",Proprietary,"AR/VR,Digital Twin,Industrial 3D Visualization","Cloud,Hybrid,On-Prem","Direct Sales,Enterprise,SaaS,Subscription,Vertical","AI-native Architecture,Proprietary 3D Streaming,Deep Integrations,End-to-End Lifecycle Coverage",Discrete Manufacturing,Automotive,AI-Enabled User Experience,Design Intelligence (CAD),"3D Content, Concepting & Streaming",Startup Raisers,Series A,Early Stage,2024,$6200000.0,$14000000.0,$2500000.0,$30000000.0,"Fraunhofer IGD spin‑off (instant3Dhub spatial‑computing platform). Raised 1.8 M EUR seed ​ and 10.4 M USD Series A led by LBBW Venture Capital, TRUMPF Venture, Futury, EquityPitcher, plus HTGF, Fraunhofer, Matterwave. ​ Industrial adoption and funding support a mid‑eight‑figure valuation.","LBBW Venture Capital, TRUMPF VENTURE, Futury Capital, EquityPitcher Ventures, Matterwave Ventures, Fraunhofer Venture, High-Tech Gründerfonds (HTGF)",4.5,Advanced industrial streaming tech,4.6,Deep team with 3D and streaming expertise,4.8,Purpose-built for industrial 3D,4.4,Efficient funding for complex tech,4.3,Rising demand for industrial visualization,4.7,Clear leadership in industrial 3D streaming,4.6,Unique streaming engine for CAD PLM,4.57,"Evgeniy Shapiro
Athanasios Banoutsos*
Christian Stein**","great interview, linkedin Post",checked,"LBBW Venture Capital, TRUMPF VENTURE, Futury Capital, EquityPitcher Ventures, Matterwave Ventures, Fraunhofer Venture, High-Tech Gründerfonds (HTGF)",,75.0,Accelerating,Manufacturing / OT,None,4/4
Quilter,https://www.quilter.ai,"Los Angeles, CA, USA",United States 🇺🇸,2019,12,Undisclosed or unknown,"AI-driven PCB design, physics-augmented EDA","Beta phase, pre-mass commercialization",EDA,Design,Ideation & Concept,PCB/EDA/CAD SaaS,EDA/PCB SaaS,schematic capture EDA tools,,checked,"Parametric,Direct",N/A,"EDA,Engineering Software","Cloud,Web","B2B,Direct Sales,Horizontal,Regional,SaaS,Subscription","Physics-informed AI,AI-driven Optimization,AI-powered Automation,Proprietary AI Models,AI-native Architecture",Discrete Manufacturing,"Aerospace & Defense,High-Tech & Electronics",AI-Enabled User Experience,Design Intelligence (CAD),AI-Powered EDA & Electronic Design,Scaleup Expanders,Series B,Growth Stage,2025,$25000000.0,$40000000.0,$3000000.0,$75000000.0,Early product‑ops or AI‑planning tool (your universe); seed/pre‑A band.Raised $25M Series B; scaling commercial beta,"Index Ventures, Benchmark",4.8,"Hardware AI, electronics digitization",4.5,"Founder: Sergiy Nesterenko, SpaceX, Apple alumni",4.9,"Learning AI for PCB layout, physics-driven",4.3,Benchmark efficiency; deep engineering team,3.8,"User base doubling, huge market opportunity",4.6,Potential to automate all PCB design globally,4.4,Unique physics-based AI IP,4.54,Sergiy Nesterenko (CEO)*,,checked,"Index Ventures, Benchmark",,63.0,Accelerating,R&D Leadership,None,3/4
Campfire,https://campfire3d.com/,"San Diego, CA, USA",United States 🇺🇸,2018,25,"Meta, Frog Design","Intuitive 3D/VR collaboration, supports 30+ CAD formats, live annotation + XR, multi-device/cloud, easy onboarding","Enterprise sales cycle, limited large deployments, faces competition from incumbent CAD/PLM & new VR startups, early hardware dependency",Collaboration,Design,Operational Digital Twin,"3D Collaboration, CAD/VR, Engineering Design",CAD/XR Collaboration,"CATIA, SolidWorks, Siemens, Rhino, Revit, AutoCAD, Inventor, Creo, STEP, STL, Parasolid, IFC, PDF, PLMXML, more",,checked,"Parametric,Direct",N/A,"Cloud CAD,Design Review,AR/VR,Digital Twin,Collaboration","Cloud,Desktop,Hardware,Plugin,Web","Direct Sales,Enterprise,Horizontal,Regional,SaaS,Subscription","Deep Integrations,Real-time Collaboration",Discrete Manufacturing,"Aerospace & Defense,Automotive,Industrial Equipment","System of Record Enhancement,AI-Enabled User Experience",Design Intelligence (CAD),"3D Content, Concepting & Streaming",Scaleup Expanders,Series B,Growth Stage,2021,$35000000.0,$103500000.0,$3800000.0,$105000000.0,Latest: Series A; $$65M; Verified ok (unknown_date),"Accel, Y Combinator, Foundation Capital, Capital 49",4.5,"Global design/engineering sector, major upgrade for 3D workflows",4.6,"Cross-platform, multi-format, live XR colab, Enterprise-grade security/hybrid cloud, full-format import/export for 3D/CAD",4.7,"Strong hardware/software integration, built-in multi-format CAD, VR/XR advantage",4.4,"Efficient,  raised $35M Series A, lean team, led by serial entrepreneur",4.3,"Strong engagement/growth, industry awards, onboarding/customer feedback",4.5,"Upgrading enterprise 3D collaboration, breaking 2D tool dependency, Solving core bottlenecks for spatial workflows",4.4,"Secure hybrid cloud, full stack, multi-format CAD/IP, onboarding, Hardware+multi-format engine, rich integration",4.52,"Jay Wright (CEO) *
Roy Ashok (COO) *",,checked,"Accel, Y Combinator, Foundation Capital, Capital 49",,51.0,Accelerating,Design Engineering,"Autodesk, Dassault, PTC, Siemens",3/4
nTop,https://ntop.com,"New York, NY, USA",United States 🇺🇸,2015,145,"Lockheed Martin, Specter Aerospace, blueflite, Aerojet Rocketdyne, US Air Force, KW Micro Power, Cobra Aero, as pro engineering, Puntozero, DMG MORI, Preziosa Francesco, Cobra Golf, Ocado Technology, RICOH, SI-BONE, IMR & Renishaw, LifeNabled, LightForce Othodontics","Unbreakable geometry, reusable workflows, simulation-driven design for additive manufacturing",Steep learning curve for advanced features,CAD,Design,Ideation & Concept,Generative Design / Topology Optimization,Generative Design,"Parasolid, STEP, CATIA, SolidWorks, Creo, NX, Inventor",C++,checked,"Implicit/F-rep,Generative,Parametric",Proprietary implicit modeling,"Generative CAD,CAD,Additive Manufacturing,Plugin","Cloud,Desktop","Direct Sales,Enterprise,International,Platform,Subscription,Vertical","Simulation-Driven Design,Generative Modeling,Proprietary AI Models,High-fidelity Simulation",Discrete Manufacturing,"Aerospace & Defense,Automotive,Contract Manufacturing,High-Tech & Electronics,Industrial Equipment,Medical Devices","AI-Enabled User Experience,Physics & Domain AI",Design Intelligence (CAD),Solid Geometry & Generative Engineering,Scaleup Expanders,Series D,Expansion Stage,2021,$65000000.0,$135000000.0,$50000000.0,$450000000.0,2021 post-money valuation; multiple sources align with sector multiples for late Series D SaaS/engineering.,"NVentures
IQT (In-Q-Tel)
Insight Partners
LM Ventures (Lockheed Martin Ventures)
Airbus Ventures
Haystack
1517 Fund
Canaan Partners
DCM Ventures
Tiger Global
Carl Bass (angel)
Oldslip Group
Root Ventures
DCVC (Data Collective)
Blake Courter",4.6,"nTop provides advanced engineering design software (notably nTop Platform) for industries such as aerospace, automotive, and medical devices, enabling generative design and additive manufacturing workflows. The global generative design market is projected to reach $1.9B by 2028, growing at a CAGR of over 20% (MarketsandMarkets, 2023), and the broader additive manufacturing market is expected to surpass $50B by 2028 (Wohlers Report 2024), indicating strong, multi-billion dollar opportunities in nTop’s core sectors.",4.7,"nTop’s founder, Brad Rothenberg, is an MIT graduate with deep expertise in computational design and advanced manufacturing. The leadership team includes veterans from Autodesk, GE, and Siemens, bringing strong sector-specific experience. Notable investors include Insight Partners and Root Ventures. nTop has announced partnerships with industry leaders like Lockheed Martin and has been recognized for rapid product development, including the launch of nTop Platform 4.0. The company has demonstrated significant customer traction in aerospace, automotive, and medical sectors, with visible growth in enterprise adoption and ongoing expansion of its engineering and sales teams.",4.2,"nTop (nTopology) offers a proprietary computational modeling platform for advanced engineering design, leveraging its unique implicit modeling engine and field-driven design tools (see Technology and Product pages, 2025). The company holds multiple patents related to lattice generation and implicit modeling (USPTO filings, 2024–2025) and has been recognized by industry analysts (Engineering.com, June 2025) for enabling complex, manufacturable geometries not feasible with traditional CAD.",4.4,"nTop has raised a total of $138.1M in funding as of September 16, 2024. In July 2021, they secured $65M in Series D funding led by Tiger Global, bringing their total financing to $135M at that time. No public data on user numbers or ARR was found. This funding level is in line with sector norms for advanced engineering software, but there is no evidence of notable capital efficiency such as bootstrapping or rapid revenue growth on low burn.",4.3,"No public growth/adoption evidence found as of March 10, 2026.",4.7,"nTop (nTopology) has demonstrated significant industry impact, particularly in advanced manufacturing, aerospace, automotive, and medical sectors. Over the past 24 months, nTop has been featured in high-profile case studies with customers such as Lockheed Martin, Wilson Sporting Goods, and Siemens, showcasing its generative design and engineering software for complex, high-performance parts. The company has announced partnerships with industry leaders like EOS, Stratasys, and HP, integrating its platform with major additive manufacturing hardware. nTop has received recognition in analyst reports, including being named a “Cool Vendor” by Gartner (2023) and highlighted in AMFG’s “Top 20 Additive Manufacturing Software Companies” (2024). The company’s software is cited in industry news for enabling breakthrough lattice structures and lightweighting in aerospace and medical implants. While nTop is not yet the universal sector standard, its adoption by Fortune 500 manufacturers and presence in major industry events and awards (e.g., TCT Awards finalist 2023) justify a high impact score.",4.4,"nTop’s official site (About, Product, and Technology pages, accessed March 2026) highlights its proprietary implicit modeling engine and advanced lattice generation tools, which are protected by multiple patents and enable complex engineering design workflows not easily replicated by traditional CAD platforms; recent case studies and press (e.g., Engineering.com, Nov 2025) cite enterprise adoption by aerospace and medical device leaders, reinforcing its position as a differentiated, IP-driven platform with integration partnerships (e.g., Siemens NX, Ansys).",4.48,"Brad Rothenberg (CEO)**
Marc Jacobs (CTO)",Podcast with Neural,checked,"NVentures (NVIDIA), IQT (In-Q-Tel), Insight Partners, LM Ventures (Lockheed Martin Ventures), Airbus Ventures, Haystack, 1517 Fund, Canaan Partners, DCM Ventures, Tiger Global, Carl Bass (angel), Oldslip Group, Root Ventures, DCVC (Data Collective), Blake Courter",,31.0,Steady,Design Engineering,"Autodesk, Dassault, PTC, Siemens",4/4
aPriori,https://www.apriori.com/,"Concord, Massachusetts, USA",USA 🇺🇸,2003,500,"Toyota, Boeing, Carrier, Caterpillar, CNH Industrial, Danfoss, Thales, Vestas, GE Aerospace, GE Appliances, Eaton, Alstom, KONE, AGCO, Navistar, Flex, Signify, Harman, TE Connectivity, Nikola, Dana, Arrival","Clear value in automated DFM, cost estimation, and manufacturability insights tied to design decisions",Category is competitive and requires deep integration into engineering and sourcing workflows,Design Intelligence,Design Phase,Engineering Design,Manufacturing cost and DFM intelligence for design and sourcing,Digital manufacturing intelligence and cost management,"SolidWorks, CATIA, NX, Creo, Fusion 360, Inventor, Onshape, Rhino3D, STEP, IGES, Parasolid, ACIS, JT, 3MF, STL",,,"Parametric,Direct",,"Quoting & Estimation,Sustainability,Workflow Automation","Cloud,On-Prem","Direct Sales,Enterprise,Global,Platform,Subscription,Vertical","Design for Manufacturing,Domain-specific Workflows,Manufacturing-grade AI Models,AI-driven Optimization","Discrete Manufacturing,Process Industries","Aerospace & Defense,Automotive,Consumer Goods,High-Tech & Electronics,Industrial Equipment",AI-Enabled User Experience,Design Intelligence (CAD),CAD-Integrated DFM & Costing,Scaleup Expanders,Series D,Expansion Stage,2021,$30000000.0,$142000000.0,$25000000.0,$225000000.0,Latest: Unattributed; as of 2024-07-25; Verified ok (fresh),"Omega Venture Partners, PBJ Capital, Autodesk, Vista Credit Partners, Gutbrain Ventures",4.7,"DFM and cost visibility is a persistent lever for margin, time-to-market, and supply chain resilience",4.4,Long operating history and continued funding suggest solid enterprise execution,4.6,Depth of manufacturing process modeling and decision automation is stronger than generic analytics tools,4.2,"Funding is meaningful and long-lived, efficiency depends on enterprise GTM spend",3.8,"Sustained presence and funding plus continued product marketing, revenue not disclosed",4.8,"Can shift design decisions earlier, reducing cost and rework while improving sourcing outcomes",4.7,"Moat comes from embedded enterprise workflows, proprietary process knowledge, and switching costs across engineering and sourcing teams",4.47,Stéphanie Feraday (CEO),,,"Omega Venture Partners, PBJ Capital, Autodesk, Vista Credit Partners, Gutbrain Ventures",,39.0,Accelerating,Design Engineering,"Autodesk, Dassault, PTC, Siemens",3/4
CADDi,https://us.caddi.com/,"Chicago, IL, USA",United States 🇺🇸,2017,600,"Hitachi, DENSO, SUBARU, Tokyo Electron, Kawasaki Railcar Manufacturing, Mitsubishi Materials USA, Ebara Corporation, TOA-DKK Corporation, Amerequip, Dairy Conveyor Corporation, Shibuya Hoppmann, Kashiyama Industries, EDM Corporation, Hilltop Technology Laboratory, Izumi Techno, Unytite",Proven AI data platform for drawings and supply chain data that targets part reuse and supplier consolidation at large manufacturers,Enterprise sales cycles and data integration requirements are heavy and incumbents can bundle adjacent capabilities,Manufacturing,Manufacture,Manufacturing Planning,"Design for manufacturing, 3D to 2D",Manufacturing AI data platform for drawings and procurement intelligence,"SolidWorks, CATIA, NX, Creo, Fusion 360, Inventor, Onshape, Rhino3D, STEP, IGES, Parasolid, ACIS, JT, 3MF, STL","C#,Python,C++,JavaScript",checked,"Parametric,Direct",,"Manufacturing AI,Supply Chain,Workflow Automation","Cloud,Web","Direct Sales,Enterprise,Horizontal,International,Platform,Subscription","Proprietary AI Models,AI-powered Automation,Proprietary Datasets",Discrete Manufacturing,"Aerospace & Defense,Automotive,Industrial Equipment",AI-Enabled User Experience,Design Intelligence (CAD),CAD-Integrated DFM & Costing,Scaleup Expanders,Series C,Expansion Stage,2025,$38000000.0,$202000000.0,$0.0,$470000000.0,Company reported Series C of $89M bringing total to $164M and later a $38M Series C extension in March 2025,"Atomico,FIT Ventures,DCM Ventures,GLOBIS Capital Partners,Global Brain,WiL,JAFCO Group,Minerva Growth Partners",4.7,Massive opportunity in reducing duplicate parts and improving supply chain efficiency using engineering data,4.4,Strong fundraising history and US expansion signals execution capacity,4.5,Specialization in extracting and using drawing knowledge for enterprise search and reuse is meaningfully differentiated,3.5,Large funding base suggests runway but burn is unknown,4.3,Reported expansion and continued funding indicate momentum and scaling,4.6,Can materially reduce cost and lead time by improving reuse and supplier rationalization,4.8,Moat grows with proprietary models trained on drawings and deep embedding into procurement workflows that raises switching costs,4.38,Patrick Herrigan (CEO) *,,checked,"Atomico, FIT Ventures, DCM Ventures, GLOBIS Capital Partners, Global Brain, WiL, JAFCO Group, Minerva Growth Partners",,47.0,Accelerating,Manufacturing / OT,"Autodesk, Dassault, PTC, Siemens",3/4
Axial3D,https://axial3d.com/,"Belfast, Northern Ireland, UK",United Kingdom 🇬🇧,2014,63,"Belfast City Hospital, NHS, GE Healthcare, University Hospital Basel, Royal Victoria & Freeman Hospitals, Newcastle, UK, US and European hospital systems & medical device companies (global reach; hundreds of hospital/lab users)","Patient-specific anatomy models
AI-driven, automated segmentation: converts DICOM/3D medical images into highly accurate, 3D-printable models at scale.
“AXCEL” modular cloud platform: scalable, fast, and FDA/ISO compliant.
Deep clinical workflow integration: surgical planning, diagnosis, treatment, rapid hospital/firm adoption, patient-matched devices.
3D printing partners (Stratasys strategic investor; use of Formlabs, in-house and partner print-labs).
Turnkey outsourcing or automation: hospitals can offload segmentation/modeling to Axial3D, or operate own on-prem cloud.
Used in orthopaedics, neuro, maxillofacial, trauma, oncology, cardiac, education, and medical device R&D; regulatory expertise.
Award-winning, strong customer testimonials worldwide.","Scaling under medical regulations, need more automation
Regulatory landscape: continuous hurdles with FDA/ISO as AI/automation evolves; maintaining compliance for each new feature.
Local 3D printing requires shipping/time when not done onsite; some hospitals may outgrow outsourced model and seek in-house solutions.
Competition from cheaper, open-source or in-house software as market matures.
Needs to further scale both automation and material range (currently mostly imaging/planning, not direct device production)",Additive Mfg,Design,Ideation & Concept,"Automated DICOM-to-3D segmentation, Patient-specific anatomic modeling; 3D print platform","Personalized medicine, surgical planning, digital health","DICOM import, exports to all major 3D file formats, HL7, PACS integration",,checked,Mesh,N/A,"Additive Manufacturing,Medical Devices,Digital Manufacturing","Cloud,Plugin,Web","Direct Sales,Enterprise,Global,SaaS,Subscription,Vertical","Deep Integrations,Turnkey Deployment,Modular Architecture,Deep Domain Expertise",Discrete Manufacturing,"Life Sciences,Medical Devices,Regulated Industries",AI-Enabled User Experience,Design Intelligence (CAD),Vertical & Domain Specific CAD,Scaleup Expanders,Series B,Growth Stage,2024,$18200000.0,$18200000.0,$18200000.0,$163800000.0,"Medical 3D segmentation/printing; 18.2 M USD latest round, 41.4 M USD total funding, ​ so sub‑unicorn but meaningful growth‑stage valuation.Major investment by Stratasys, growing global reach; Stratasys (strategic), 57 Stars, Whiterock, InnovateUK, Clarendon, Techstart, Innovation Ulster, US/NI angels","Techstart Ventures, Innovation Ulster Limited, Clarendon Fund Managers, 57 Stars, Whiterock, Innovate UK, Imprimatur Capital Fund Management, Stratasys, US and Northern Irish business angels, Dr Christopher Rumana",4.5,"3D patient-specific modeling in healthcare is a large and growing market, especially as personalized medicine expands.",4.5,"UK-based, experienced healthcare/3D modeling founders, proven through regulatory and hospital partnerships.",4.5,AI-driven medical image segmentation and patient-specific 3D modeling—regulatory approvals give technical and go-to-market advantage.,4.0,"Raised multiple rounds, fairly capital efficient for medtech, balancing R&D and sales.",4.0,"Hospital and device manufacturer partnerships, regulatory validation, annual revenue growth.",4.5,"Enables better surgical planning, patient outcomes; cited in medical research as transformative.",4.0,Regulatory and process/IP approvals create defense; clinical alliances and data also build moat.,4.35,"Roger Johnston (CEO) **
Rory Hanratty
Daniel Crawford
",Podcast with Compute Maritime,checked,"Techstart Ventures, Innovation Ulster Limited, Clarendon Fund Managers, 57 Stars, Whiterock, Innovate UK, Imprimatur Capital Fund Management, Stratasys, US and Northern Irish business angels, Dr Christopher Rumana",,63.0,Accelerating,Manufacturing / OT,None,3/4
Cognitive Design by CDS,https://www.cognitive-design-systems.com,"Toulouse, France",France 🇫🇷,2018,30,"French armed forces, aerospace manufacturers, sports equipment suppliers, defense companies (unspecified)","AI-driven generative design, implicit modeling kernel, 80-90% reduction in design cycle time, integrates with CAD platforms","Early-stage startup, limited market penetration, complex integration for non-AM workflows.",CAD,Design,Ideation & Concept,"AI for design, generative design, Design for Manufacturing (DfM).",Generative Design/Manufacturing,CAD platforms,,,"Implicit/F-rep,Generative,Parametric,Topology Opt.",Proprietary hybrid geometrical engine,"Generative CAD,Engineering Software,Design Automation,Plugin,CAD,Digital Twin,Workflow Automation","Cloud,On-Prem,Plugin","Enterprise,Product-led Growth,SaaS,Subscription,Vertical","AI-driven Design Generation,Generative Modeling,AI Toolpath Optimization,Design for Manufacturing,AI-native Architecture,Proprietary AI Models,Simulation-Driven Design",Discrete Manufacturing,"Aerospace & Defense,Automotive,Consumer Goods,Industrial Equipment,Medical Devices","AI-Enabled User Experience,Physics & Domain AI",Design Intelligence (CAD),Solid Geometry & Generative Engineering,Startup Raisers,Seed,Seed Stage,2025,$2347800.0,$2300000.0,$3000000.0,$27000000.0,Only €2M raised; sector post-A averages $8M–10M.,"Iron Hands Capital, DAA Capital Partners, SpaceFounders France",4.2,"Cognitive Design Systems provides AI-driven generative design and digital twin solutions for manufacturing, automotive, and aerospace sectors—industries with significant digital transformation investment. The global digital twin market alone is projected to reach $110.1B by 2028, growing at a CAGR of 61.3% (MarketsandMarkets, 2023), and generative design in manufacturing is also experiencing rapid adoption (Grand View Research, 2024).",4.3,"Cognitive Design Systems’ team includes founder and CEO Dr. Rania Khalaf, with prior leadership roles at IBM Research and Element AI, and CTO Dr. Jean-François Boujut, a professor in design engineering. The company lists partnerships with Dassault Systèmes and has participated in the NVIDIA Inception program. Recent press (2023–2024) highlights product launches in generative design for AEC and manufacturing sectors. Notable investors include Elaia Partners. No evidence of prior founder exits, but sector expertise and industry collaborations are strong.4.3",4.6,"Cognitive Design Systems claims proprietary AI-driven generative design technology that automates manufacturability analysis and DfAM (Design for Additive Manufacturing), as detailed on their Technology and Product pages; the company highlights unique algorithms for geometry analysis and process simulation, and was recognized as a finalist in the 2025 Formnext Start-up Challenge (Formnext press release, November 2025), supporting independent validation of technical differentiation.",4.1,"Cognitive Design Systems raised €2 million (~$2.14M) in a seed round announced in November 2023. As of early 2024, the company reported growing its team from 12 to 18 members and developing a new product focused on manufacturable generative design for additive manufacturing. No public data on user numbers or ARR was found. This funding round and product milestone are in line with sector norms for early-stage European deep tech startups, with no notable capital efficiency (such as bootstrapping or unusually rapid revenue growth) reported as of March 2026.",4.5,"Cognitive Design Systems raised €2M in seed funding in 2023 (EU-Startups), has announced partnerships with major automotive and aerospace firms, and has expanded its AI-driven design platform globally; recent press releases and LinkedIn updates highlight new enterprise contracts and product launches, indicating strong adoption and growth momentum as of early 2026.",4.2,"Cognitive Design Systems (CDS) has demonstrated notable industry impact, reflected in its partnerships with major aerospace and automotive companies such as Airbus and Renault, as highlighted in its case studies and press releases. CDS has been featured in industry news for its AI-driven generative design platform, which accelerates product development and sustainability. The company was a finalist in the 2023 JEC Innovation Awards and has participated in high-profile collaborations, including with Dassault Systèmes. However, while CDS shows strong momentum and recognition, it is not yet widely cited as a sector standard in analyst benchmarks or by leading industry analysts. Thus, the score reflects solid adoption and growing influence, but not yet pervasive industry dominance.",4.2,"Cognitive Design by CDS claims proprietary AI-driven generative design technology for industrial applications, with references to unique algorithms and integration with major CAD platforms (About and Technology pages, July 2025). However, similar generative design solutions exist from established players like Autodesk and Siemens, and no explicit patents or exclusive partnerships are cited, indicating a moderate moat based on differentiated but not unique technology.",4.32,"Rhushik Matroja (CEO) **
Henri de Charnacé
Vincent Ung**
",Done with EMMI AI,checked,"Iron Hands Capital, DAA Capital Partners, SpaceFounders France",,55.0,High Growth,Design Engineering,None,4/4
