Company;Company URL;HQ Location;Country;Founded;Estimated Headcount;Known Customers;Strengths;Weaknesses;Discipline;Lifecycle Phase;Workflow Segment;Subsegment;Sector Focus;Category/Function Tags;Operating Model Tags;Differentiation Tags;Manufacturing Type;Industries Served;Investment List;Subcategories;Company Group;Latest Funding Round;Startup Lifecycle Phase;Lastest Funding Event Year;Latest Event Funding Amount;Total Current Known Funding Level;Current Estimated Annual Revenue;Estimated Market Value;Financials Notes;Investors and VCs;Market Opportunity;Market Opportunity Justification;Team & Execution;Team & Execution Justification;Technology Differentiation;Technology Differentiation Justification;Funding Efficiency;Funding Efficiency Justification;Growth Metrics;Growth Metrics Justification;Industry Impact;Industry Impact Justification;Competitive Moat;Competitive Moat Justification
1X Technologies;https://www.1x.tech;Palo Alto, USA;USA 🇺🇸;2014;770;ADT Security Services, EQT portfolio companies;Pioneer in humanoid robotics with both industrial (Eve) and consumer (Neo) platforms and own manufacturing in Norway;Pre-revenue on consumer robot with $20K price point and unproven home robot market;Robotics;Growth;Product Development;Humanoid Robotics;Consumer, Industrial, Security;Robotics, AI, Humanoid, Automation;Robot-as-a-Product, Hardware+Software;Embodied AI, Bipedal Locomotion, Full-Stack Robotics;Discrete;Security, Logistics, Consumer;09-SW+HW=Innovation (Robotics, Drones);Humanoid Robotics;Humanoid Robotics;Series C;Growth;2025;1000000000;1136000000;10000000;10000000000;$1B Series C in Sep 2025 at ~$10B valuation. Neo pre-orders at $20K. Eve generated ~$7M in 2022 via ADT leasing.;OpenAI Startup Fund, EQT Ventures, Samsung NEXT, Tiger Global, NVIDIA, Salesforce, Intel, Qualcomm, Brookfield;4.5;Humanoid robotics is a massive emerging market with consumer and industrial applications;4.0;Strong technical team from Norway robotics ecosystem but scaling consumer hardware is unproven;4.0;Full-stack humanoid with embodied AI approach differentiates from competitors;3.5;$1B+ raised but minimal revenue to date relative to capital consumed;3.5;Neo pre-orders and EQT partnership for 10K robots show traction but unproven at scale;4.0;Could transform home automation and industrial labor markets;3.5;Early mover in humanoid robotics but facing competition from Tesla Optimus and Figure AI
Aera Technology;https://www.aeratechnology.com;Mountain View, USA;USA 🇺🇸;2017;344;Dell, Hershey, Merck, Colgate-Palmolive;Pioneer in decision intelligence with strong enterprise customer base and proven supply chain AI platform;Last known funding round was 2019 Series C suggesting potential fundraising challenges or pivot to profitability;AI/ML Platform;Growth;Decision Support;Decision Intelligence;Supply Chain, Enterprise;Decision Intelligence, AI Agent, Supply Chain Optimization;Enterprise SaaS, AI Platform;Purpose-built Decision AI Agent, Real-time Recommendations;N A;CPG, Manufacturing, Logistics, Technology;07-Streamlined Supply Chain (SCM);Decision Intelligence;Enterprise AI;Series C;Growth;2019;N A;172000000;97000000;679000000;$97M ARR reported. Total funding $172M across 9 rounds. Last round Series C in 2019.;New Enterprise Associates, Sierra Ventures, DFJ Growth, Silver Lake, Georgian, NewView Capital, Harmony Partners;4.0;Decision intelligence for supply chain is a growing market with strong enterprise demand;4.0;443 employees and $97M revenue demonstrate strong execution;3.5;Purpose-built decision intelligence agent is differentiated but market is crowding;4.5;$97M revenue on $172M funding shows strong capital efficiency;4.0;Revenue growth from $33M to $97M in ~4 years shows solid trajectory;3.5;Improving supply chain decisions for Fortune 500 companies;3.5;Strong product but competing against broader AI platforms like Palantir and C3.ai
Agility Robotics;https://www.agilityrobotics.com;Salem, USA;USA 🇺🇸;2015;350;Amazon, GXO Logistics, Spanx;First humanoid robot factory (RoboFab) with real commercial deployments and strong investor backing including Amazon;Still early in commercial deployment with ~100 units deployed and unproven unit economics at scale;Robotics;Growth;Manufacturing Operations;Humanoid Robotics;Warehousing, Logistics;Robotics, Humanoid, Warehouse Automation, AI;Robot-as-a-Product, Hardware+Software;Bipedal Design, Purpose-Built for Logistics, RoboFab Manufacturing;Discrete;Logistics, Warehousing, Retail;09-SW+HW=Innovation (Robotics, Drones);Humanoid Robotics;Humanoid Robotics;Series C;Growth;2025;400000000;641000000;N A;2800000000;$400M Series C in Mar 2025 at ~$2.1B valuation. ~100 Digit robots deployed. RoboFab operational in Salem OR.;DCVC, Playground Global, Amazon Industrial Innovation Fund, NVentures, WP Global, SoftBank, Sony Innovation Fund, Schaeffler;4.5;Warehouse automation with humanoid robots addresses massive labor shortage;4.0;Oregon State spin-off with real factory and commercial deployments;4.0;Digit is purpose-built for logistics unlike general-purpose humanoids;3.0;$641M raised with limited revenue indicates high capital intensity;3.5;~100 units deployed across major customers shows early traction;4.0;Could transform warehouse and logistics labor;3.5;First-mover in logistics humanoid but competition intensifying rapidly
AICA;https://www.aica.tech;Prilly, Switzerland;Switzerland 🇨🇭;2019;18;Schaeffler, Actemium;AI-powered adaptive robotics platform from EPFL spin-off with strong industrial partners like Schaeffler and Bosch;Very early stage with limited funding ($4.3M total) and small team in niche market;Robotics Software;Early;Robot Programming;Adaptive Robot Control;Industrial Automation;Robotics Software, AI Control, Force Adaptation;SaaS Platform;Real-time AI Control, Modular Robot Programming, Sensor-Driven Adaptation;Discrete;Automotive, Manufacturing, Battery;09-SW+HW=Innovation (Robotics, Drones);Robot Software Platform;Industrial Robotics Software;Seed;Early;2025;2350000;4290000;N A;12870000;CHF 2.35M seed round in 2025 led by Momenta. Total funding ~$4.3M. EPFL spin-off.;Momenta Ventures, Spicehaus, HTGF, Schaeffler, Bosch Startup Harbour, Microsoft, Zürcher Kantonalbank, Innosuisse;3.5;Industrial robot programming simplification addresses real pain point but niche market;3.5;Strong EPFL technical founders with industrial partners validating technology;4.0;AI-driven force adaptation and modular control is technically differentiated;3.0;Very early with limited funding makes efficiency hard to assess;2.5;Small team and early customer base limit growth metrics visibility;3.0;Simplifying robot deployment could accelerate adoption in SME manufacturing;3.0;Strong tech but small scale and well-funded competitors in robot software
AiSupervision;https://www.aisupervision.com;Mannheim, Germany;Germany 🇩🇪;2020;9;N A;Y Combinator backed with practical factory floor productivity monitoring using RFID instead of cameras (GDPR compliant);Very small team (9 employees) with minimal funding ($500K) and limited market traction;Manufacturing Software;Early;Production Management;Factory Analytics;Manufacturing;Factory AI, Production Monitoring, Workforce Analytics;SaaS Platform;RFID-based Tracking, GDPR-Compliant, Real-time Production Analytics;Discrete;Manufacturing;04-Factory Futures (MES, IIOT);Factory Analytics;Smart Factory;Seed;Early;2022;500000;500000;N A;1500000;$500K seed from YC W22. Very early stage with 9 employees.;Y Combinator, Davidovs Venture Capital, First Momentum Ventures;3.0;Factory productivity monitoring is a real need but competitive market;2.5;Small team with limited traction since 2022 YC batch;3.0;GDPR-compliant RFID approach is practical but not highly defensible;2.0;Minimal funding and no follow-on round since 2022 is concerning;2.0;Limited growth evidence since YC graduation;2.5;Could improve factory floor efficiency but limited scale;2.0;Low barriers to entry and well-funded competitors in factory analytics
Alitheon;https://alitheon.com;Bellevue, USA;USA 🇺🇸;2015;24;BMW, US Department of Defense, aXedras;Patented FeaturePrint optical AI technology for object authentication with defense and luxury goods applications;Small company with modest revenue and niche use case limits total addressable market;Computer Vision;Growth;Quality & Inspection;Object Authentication;Supply Chain Traceability;Optical AI, Authentication, Anti-Counterfeiting, Serialization;SaaS + Hardware;Patented FeaturePrint, No-Touch Serialization, Multi-Spectral Imaging;N A;Defense, Luxury Goods, Automotive, Aerospace;06-Augmented Operations (MOM, MRO, AR/VR, SLM);Object Authentication;Quality & Traceability;Grant;Growth;2023;390000;37900000;N A;113700000;$37.9M total funding. $1.8M DOD contract in 2024. Partnership with aXedras in 2025.;116 Street Capital, US Department of Energy, Plug and Play, BMW i Ventures, AE Ventures, Imagine Ventures, IPD Capital;3.0;Anti-counterfeiting and traceability growing but niche market;3.0;Technical team with strong patents but small scale;4.5;Patented FeaturePrint technology is highly differentiated and defensible;3.0;$37.9M raised with DOD contracts showing some revenue but limited visibility;2.5;Small headcount and niche deployments limit growth evidence;3.0;Important for supply chain authenticity but narrow application;4.0;Strong patent portfolio creates meaningful competitive moat
Almond;https://www.almond.bot;San Francisco, USA;USA 🇺🇸;2025;2;N A;Vision-based AI robot for high-mix pick and place at $7/hour disrupting traditional industrial automation economics;Extremely early stage (2 employees) with no disclosed funding beyond YC and unproven at scale;Robotics;Seed;Manufacturing Operations;Pick and Place Automation;Manufacturing;Robotics, Computer Vision, Robot-as-a-Service, AI;Robot-as-a-Service;Vision AI for High-Mix Manufacturing, Diffusion Models, $7/hr Pricing;Discrete;Manufacturing;03-Adaptive Manufacturing (AM, CAM);Robot-as-a-Service;Manufacturing Robotics;Pre-Seed;Seed;2025;500000;500000;N A;1500000;YC-backed. Very early stage with 2 founders. $7/hour robot-as-a-service model.;Y Combinator;3.5;High-mix manufacturing automation is a large underserved market;2.0;Just 2 founders at very early stage;3.5;Vision-based approach using diffusion models for flexible automation is novel;N A;Too early to assess funding efficiency;1.5;Pre-revenue with no disclosed customers;3.5;Could democratize automation for high-mix low-volume manufacturing;2.0;Interesting technology but extremely early and easily replicable concept
AMP Robotics;https://ampsortation.com;Louisville, USA;USA 🇺🇸;2015;242;Waste Connections, Republic Services;AI-powered recycling sortation leader with 275+ deployments across 5 continents and strong climate-focused investor base;Not directly in engineering/CAD/PLM space - focused on waste and recycling verticals;AI/ML Platform;Growth;Operations;Waste Sortation;Recycling, Waste Management;AI, Robotics, Computer Vision, Recycling;Full-Stack (SW+HW+Operations);AI Material Recognition, Autonomous Sortation, Continuous Purity Monitoring;N A;Waste Management, Recycling;04-Factory Futures (MES, IIOT);AI-Powered Sortation;CleanTech Robotics;Series D;Growth;2024;91000000;377000000;N A;1131000000;$91M Series D in Dec 2024. $377M total. Former Republic Services COO as CEO.;Congruent Ventures, Sequoia Capital, Blue Earth Capital, CalSTRS, Liberty Mutual, Wellington Management, Microsoft Climate Innovation Fund;3.5;Recycling automation growing but dependent on policy and commodity markets;4.0;Strong team led by former Republic Services COO with 300+ employees;3.5;AI-powered material recognition is effective but not unique technology;3.0;$377M raised without disclosed profitability;3.5;275+ deployments across 5 continents shows real traction;3.5;Improving recycling economics has environmental and economic impact;3.5;Market leader in AI recycling sortation with scale advantage
Anduril;https://www.anduril.com;Costa Mesa, USA;USA 🇺🇸;2017;5600;US Department of Defense, US Customs and Border Protection, Australian Ministry of Defense;Fastest-growing defense tech company with $1B+ revenue and $7B raised disrupting legacy defense contractors;Defense-focused company not directly relevant to civilian engineering/PLM/CAD but relevant to robotics/drones;Defense Technology;Scale;Full Lifecycle;Autonomous Systems;Defense, National Security;Autonomous Drones, AI, Computer Vision, Defense Tech;Full-Stack (SW+HW);Lattice OS, Autonomous Warfare Systems, Modular Open Architecture;Discrete;Defense, National Security, Border Security;09-SW+HW=Innovation (Robotics, Drones);Autonomous Defense Systems;Defense Tech;Series F;Scale;2025;2500000000;7000000000;1000000000;7000000000;$2.5B Series F in Jun 2025 at $30.5B valuation. ~$1B revenue in 2024 targeting $2B in 2026. Reportedly raising $8B at $60B.;Founders Fund, Andreessen Horowitz, 8VC, General Catalyst, Lux Capital, Valor Equity Partners, D1 Capital, BlackRock;4.5;Defense modernization is a multi-hundred billion dollar opportunity;5.0;Palmer Luckey-led team with 5000+ employees and $1B revenue;4.5;Lattice OS and autonomous systems are category-defining;3.5;$7B raised but $1B revenue shows path to efficiency;5.0;Revenue nearly doubling year over year with massive backlog;5.0;Reshaping defense procurement and military technology;4.5;Lattice platform and defense contracts create strong moat
Applied Innovation;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;11-Exit;11-Exit;N A;N A;N A;N A;N A;N A;N A;N A;N A;Unable to identify a specific startup called "Applied Innovation" in the engineering/industrial AI space. Company may operate under a different name or be too small to have public records.;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A;N A
